title,author,description,summary,type,pages,isAvailable,publishedAt
"Code Without Panic","Jean Dupont","Code Without Panic explores defensive programming, focusing on building calm development habits under pressure. The chapters mix practical engineering scenes with compact technical explanations, showing how architecture choices, debugging habits, and review discipline influence reliability over time. It reads like a field report for developers who want stronger delivery without losing product.","Code Without Panic frames defensive programming as a living practice rather than a fixed recipe, with a continuous thread on building calm development habits under pressure. The opening section introduces a team that inherits a fragile platform and must keep customer features moving while paying down hidden technical debt. Instead of promising a miracle rewrite, the narrative shows how small operational wins create trust and buy time for deeper architectural work. A historical interlude then maps the topic to well known moments in computing history, similar to the way encyclopedia timelines connect people, systems, and consequences. The book uses that arc to explain why certain practices persisted and why others failed when complexity rose. The middle chapters move into implementation details: naming boundaries, selecting abstractions, and planning interfaces that can evolve without surprising users. Tradeoffs are explicit, including when a theoretically elegant design is not worth its operational burden. Several case studies follow incidents from first alert to postmortem. Log fragments, metric shifts, and rollback decisions are analyzed to show how good teams separate symptom from cause under time pressure. Each case ends with a concrete policy change and measurable impact. A dedicated section addresses collaboration mechanics: review quality, branch strategy, release cadence, and communication between product and platform teams. The text argues that technical quality and social clarity are inseparable in long running codebases. Security, performance, and cost appear as recurring constraints rather than separate chapters. This framing helps readers evaluate decisions in context, balancing immediate delivery with maintenance load, compliance obligations, and incident frequency. The later chapters include repeatable playbooks: how to design experiments, define service level objectives, and detect regressions before users do. Emphasis is placed on instrumenting unknowns early so surprises become visible while they are still cheap to fix. Before closing, the book revisits the opening system and documents what changed after six months of disciplined iteration. Some problems remain unsolved, which reinforces the core idea that engineering maturity is a practice, not a finish line. An appendix provides compact reference material for teams: checklist templates, migration sequencing patterns, and review prompts that reduce avoidable defects. The language is intentionally plain so mixed experience teams can apply it quickly. The conclusion returns to the human side of software work: attention management, ownership boundaries, and the craft mindset needed for durable systems. Readers leave with a realistic blueprint for improving reliability without freezing product momentum.",fiction,180,false,"1972-01-01 09:00:00"
"Debugging at Midnight","Jean-Luc Martin","Debugging at Midnight explores debugging strategy, focusing on reading logs and traces when incidents hit production. The chapters mix practical engineering scenes with compact technical explanations, showing how architecture choices, debugging habits, and review discipline influence reliability over time. It reads like a field report for developers who want stronger delivery without losing.","Debugging at Midnight frames debugging strategy as a living practice rather than a fixed recipe, with a continuous thread on reading logs and traces when incidents hit production. The opening section introduces a team that inherits a fragile platform and must keep customer features moving while paying down hidden technical debt. Instead of promising a miracle rewrite, the narrative shows how small operational wins create trust and buy time for deeper architectural work. A historical interlude then maps the topic to well known moments in computing history, similar to the way encyclopedia timelines connect people, systems, and consequences. The book uses that arc to explain why certain practices persisted and why others failed when complexity rose. The middle chapters move into implementation details: naming boundaries, selecting abstractions, and planning interfaces that can evolve without surprising users. Tradeoffs are explicit, including when a theoretically elegant design is not worth its operational burden. Several case studies follow incidents from first alert to postmortem. Log fragments, metric shifts, and rollback decisions are analyzed to show how good teams separate symptom from cause under time pressure. Each case ends with a concrete policy change and measurable impact. A dedicated section addresses collaboration mechanics: review quality, branch strategy, release cadence, and communication between product and platform teams. The text argues that technical quality and social clarity are inseparable in long running codebases. Security, performance, and cost appear as recurring constraints rather than separate chapters. This framing helps readers evaluate decisions in context, balancing immediate delivery with maintenance load, compliance obligations, and incident frequency. The later chapters include repeatable playbooks: how to design experiments, define service level objectives, and detect regressions before users do. Emphasis is placed on instrumenting unknowns early so surprises become visible while they are still cheap to fix. Before closing, the book revisits the opening system and documents what changed after six months of disciplined iteration. Some problems remain unsolved, which reinforces the core idea that engineering maturity is a practice, not a finish line. An appendix provides compact reference material for teams: checklist templates, migration sequencing patterns, and review prompts that reduce avoidable defects. The language is intentionally plain so mixed experience teams can apply it quickly. The conclusion returns to the human side of software work: attention management, ownership boundaries, and the craft mindset needed for durable systems. Readers leave with a realistic blueprint for improving reliability without freezing product momentum.",non-fiction,217,true,"1972-06-22 09:00:00"
"The Commit Ritual","Py Thon","The Commit Ritual explores version control culture, focusing on writing commits that preserve intent and context. The chapters mix practical engineering scenes with compact technical explanations, showing how architecture choices, debugging habits, and review discipline influence reliability over time. It reads like a field report for developers who want stronger delivery without losing product.","The Commit Ritual frames version control culture as a living practice rather than a fixed recipe, with a continuous thread on writing commits that preserve intent and context. The opening section introduces a team that inherits a fragile platform and must keep customer features moving while paying down hidden technical debt. Instead of promising a miracle rewrite, the narrative shows how small operational wins create trust and buy time for deeper architectural work. A historical interlude then maps the topic to well known moments in computing history, similar to the way encyclopedia timelines connect people, systems, and consequences. The book uses that arc to explain why certain practices persisted and why others failed when complexity rose. The middle chapters move into implementation details: naming boundaries, selecting abstractions, and planning interfaces that can evolve without surprising users. Tradeoffs are explicit, including when a theoretically elegant design is not worth its operational burden. Several case studies follow incidents from first alert to postmortem. Log fragments, metric shifts, and rollback decisions are analyzed to show how good teams separate symptom from cause under time pressure. Each case ends with a concrete policy change and measurable impact. A dedicated section addresses collaboration mechanics: review quality, branch strategy, release cadence, and communication between product and platform teams. The text argues that technical quality and social clarity are inseparable in long running codebases. Security, performance, and cost appear as recurring constraints rather than separate chapters. This framing helps readers evaluate decisions in context, balancing immediate delivery with maintenance load, compliance obligations, and incident frequency. The later chapters include repeatable playbooks: how to design experiments, define service level objectives, and detect regressions before users do. Emphasis is placed on instrumenting unknowns early so surprises become visible while they are still cheap to fix. Before closing, the book revisits the opening system and documents what changed after six months of disciplined iteration. Some problems remain unsolved, which reinforces the core idea that engineering maturity is a practice, not a finish line. An appendix provides compact reference material for teams: checklist templates, migration sequencing patterns, and review prompts that reduce avoidable defects. The language is intentionally plain so mixed experience teams can apply it quickly. The conclusion returns to the human side of software work: attention management, ownership boundaries, and the craft mindset needed for durable systems. Readers leave with a realistic blueprint for improving reliability without freezing product momentum.",rare-editions,254,true,"1972-12-12 09:00:00"
"Why CSS Matters","Mec Bizarre","Why CSS Matters explores frontend architecture, focusing on balancing visual polish with maintainable style systems. The chapters mix practical engineering scenes with compact technical explanations, showing how architecture choices, debugging habits, and review discipline influence reliability over time. It reads like a field report for developers who want stronger delivery without losing.","Why CSS Matters frames frontend architecture as a living practice rather than a fixed recipe, with a continuous thread on balancing visual polish with maintainable style systems. The opening section introduces a team that inherits a fragile platform and must keep customer features moving while paying down hidden technical debt. Instead of promising a miracle rewrite, the narrative shows how small operational wins create trust and buy time for deeper architectural work. A historical interlude then maps the topic to well known moments in computing history, similar to the way encyclopedia timelines connect people, systems, and consequences. The book uses that arc to explain why certain practices persisted and why others failed when complexity rose. The middle chapters move into implementation details: naming boundaries, selecting abstractions, and planning interfaces that can evolve without surprising users. Tradeoffs are explicit, including when a theoretically elegant design is not worth its operational burden. Several case studies follow incidents from first alert to postmortem. Log fragments, metric shifts, and rollback decisions are analyzed to show how good teams separate symptom from cause under time pressure. Each case ends with a concrete policy change and measurable impact. A dedicated section addresses collaboration mechanics: review quality, branch strategy, release cadence, and communication between product and platform teams. The text argues that technical quality and social clarity are inseparable in long running codebases. Security, performance, and cost appear as recurring constraints rather than separate chapters. This framing helps readers evaluate decisions in context, balancing immediate delivery with maintenance load, compliance obligations, and incident frequency. The later chapters include repeatable playbooks: how to design experiments, define service level objectives, and detect regressions before users do. Emphasis is placed on instrumenting unknowns early so surprises become visible while they are still cheap to fix. Before closing, the book revisits the opening system and documents what changed after six months of disciplined iteration. Some problems remain unsolved, which reinforces the core idea that engineering maturity is a practice, not a finish line. An appendix provides compact reference material for teams: checklist templates, migration sequencing patterns, and review prompts that reduce avoidable defects. The language is intentionally plain so mixed experience teams can apply it quickly. The conclusion returns to the human side of software work: attention management, ownership boundaries, and the craft mindset needed for durable systems. Readers leave with a realistic blueprint for improving reliability without freezing product momentum.",drame,291,false,"1973-06-03 09:00:00"
"Cube Adventures","Jean-Michel Delu","Cube Adventures explores team onboarding, focusing on learning a legacy codebase one module at a time. The chapters mix practical engineering scenes with compact technical explanations, showing how architecture choices, debugging habits, and review discipline influence reliability over time. It reads like a field report for developers who want stronger delivery without losing product momentum.","Cube Adventures frames team onboarding as a living practice rather than a fixed recipe, with a continuous thread on learning a legacy codebase one module at a time. The opening section introduces a team that inherits a fragile platform and must keep customer features moving while paying down hidden technical debt. Instead of promising a miracle rewrite, the narrative shows how small operational wins create trust and buy time for deeper architectural work. A historical interlude then maps the topic to well known moments in computing history, similar to the way encyclopedia timelines connect people, systems, and consequences. The book uses that arc to explain why certain practices persisted and why others failed when complexity rose. The middle chapters move into implementation details: naming boundaries, selecting abstractions, and planning interfaces that can evolve without surprising users. Tradeoffs are explicit, including when a theoretically elegant design is not worth its operational burden. Several case studies follow incidents from first alert to postmortem. Log fragments, metric shifts, and rollback decisions are analyzed to show how good teams separate symptom from cause under time pressure. Each case ends with a concrete policy change and measurable impact. A dedicated section addresses collaboration mechanics: review quality, branch strategy, release cadence, and communication between product and platform teams. The text argues that technical quality and social clarity are inseparable in long running codebases. Security, performance, and cost appear as recurring constraints rather than separate chapters. This framing helps readers evaluate decisions in context, balancing immediate delivery with maintenance load, compliance obligations, and incident frequency. The later chapters include repeatable playbooks: how to design experiments, define service level objectives, and detect regressions before users do. Emphasis is placed on instrumenting unknowns early so surprises become visible while they are still cheap to fix. Before closing, the book revisits the opening system and documents what changed after six months of disciplined iteration. Some problems remain unsolved, which reinforces the core idea that engineering maturity is a practice, not a finish line. An appendix provides compact reference material for teams: checklist templates, migration sequencing patterns, and review prompts that reduce avoidable defects. The language is intentionally plain so mixed experience teams can apply it quickly. The conclusion returns to the human side of software work: attention management, ownership boundaries, and the craft mindset needed for durable systems. Readers leave with a realistic blueprint for improving reliability without freezing product momentum.",fiction,328,true,"1973-11-23 09:00:00"
"Typed Wars","DI Press","Typed Wars explores static typing debates, focusing on tradeoffs between speed of iteration and compile-time safety. The chapters mix practical engineering scenes with compact technical explanations, showing how architecture choices, debugging habits, and review discipline influence reliability over time. It reads like a field report for developers who want stronger delivery without losing.","Typed Wars frames static typing debates as a living practice rather than a fixed recipe, with a continuous thread on tradeoffs between speed of iteration and compile-time safety. The opening section introduces a team that inherits a fragile platform and must keep customer features moving while paying down hidden technical debt. Instead of promising a miracle rewrite, the narrative shows how small operational wins create trust and buy time for deeper architectural work. A historical interlude then maps the topic to well known moments in computing history, similar to the way encyclopedia timelines connect people, systems, and consequences. The book uses that arc to explain why certain practices persisted and why others failed when complexity rose. The middle chapters move into implementation details: naming boundaries, selecting abstractions, and planning interfaces that can evolve without surprising users. Tradeoffs are explicit, including when a theoretically elegant design is not worth its operational burden. Several case studies follow incidents from first alert to postmortem. Log fragments, metric shifts, and rollback decisions are analyzed to show how good teams separate symptom from cause under time pressure. Each case ends with a concrete policy change and measurable impact. A dedicated section addresses collaboration mechanics: review quality, branch strategy, release cadence, and communication between product and platform teams. The text argues that technical quality and social clarity are inseparable in long running codebases. Security, performance, and cost appear as recurring constraints rather than separate chapters. This framing helps readers evaluate decisions in context, balancing immediate delivery with maintenance load, compliance obligations, and incident frequency. The later chapters include repeatable playbooks: how to design experiments, define service level objectives, and detect regressions before users do. Emphasis is placed on instrumenting unknowns early so surprises become visible while they are still cheap to fix. Before closing, the book revisits the opening system and documents what changed after six months of disciplined iteration. Some problems remain unsolved, which reinforces the core idea that engineering maturity is a practice, not a finish line. An appendix provides compact reference material for teams: checklist templates, migration sequencing patterns, and review prompts that reduce avoidable defects. The language is intentionally plain so mixed experience teams can apply it quickly. The conclusion returns to the human side of software work: attention management, ownership boundaries, and the craft mindset needed for durable systems. Readers leave with a realistic blueprint for improving reliability without freezing product momentum.",non-fiction,365,true,"1974-05-15 09:00:00"
"Refactor Before Dawn","Ada Lovelace","Refactor Before Dawn explores incremental refactoring, focusing on small safe changes that reduce long term complexity. The chapters mix practical engineering scenes with compact technical explanations, showing how architecture choices, debugging habits, and review discipline influence reliability over time. It reads like a field report for developers who want stronger delivery without losing.","Refactor Before Dawn frames incremental refactoring as a living practice rather than a fixed recipe, with a continuous thread on small safe changes that reduce long term complexity. The opening section introduces a team that inherits a fragile platform and must keep customer features moving while paying down hidden technical debt. Instead of promising a miracle rewrite, the narrative shows how small operational wins create trust and buy time for deeper architectural work. A historical interlude then maps the topic to well known moments in computing history, similar to the way encyclopedia timelines connect people, systems, and consequences. The book uses that arc to explain why certain practices persisted and why others failed when complexity rose. The middle chapters move into implementation details: naming boundaries, selecting abstractions, and planning interfaces that can evolve without surprising users. Tradeoffs are explicit, including when a theoretically elegant design is not worth its operational burden. Several case studies follow incidents from first alert to postmortem. Log fragments, metric shifts, and rollback decisions are analyzed to show how good teams separate symptom from cause under time pressure. Each case ends with a concrete policy change and measurable impact. A dedicated section addresses collaboration mechanics: review quality, branch strategy, release cadence, and communication between product and platform teams. The text argues that technical quality and social clarity are inseparable in long running codebases. Security, performance, and cost appear as recurring constraints rather than separate chapters. This framing helps readers evaluate decisions in context, balancing immediate delivery with maintenance load, compliance obligations, and incident frequency. The later chapters include repeatable playbooks: how to design experiments, define service level objectives, and detect regressions before users do. Emphasis is placed on instrumenting unknowns early so surprises become visible while they are still cheap to fix. Before closing, the book revisits the opening system and documents what changed after six months of disciplined iteration. Some problems remain unsolved, which reinforces the core idea that engineering maturity is a practice, not a finish line. An appendix provides compact reference material for teams: checklist templates, migration sequencing patterns, and review prompts that reduce avoidable defects. The language is intentionally plain so mixed experience teams can apply it quickly. The conclusion returns to the human side of software work: attention management, ownership boundaries, and the craft mindset needed for durable systems. Readers leave with a realistic blueprint for improving reliability without freezing product momentum.",rare-editions,402,false,"1974-11-04 09:00:00"
"Memory of Machines","Grace Hopper","Memory of Machines explores memory management, focusing on how allocation patterns shape software reliability. The chapters mix practical engineering scenes with compact technical explanations, showing how architecture choices, debugging habits, and review discipline influence reliability over time. It reads like a field report for developers who want stronger delivery without losing product.","Memory of Machines frames memory management as a living practice rather than a fixed recipe, with a continuous thread on how allocation patterns shape software reliability. The opening section introduces a team that inherits a fragile platform and must keep customer features moving while paying down hidden technical debt. Instead of promising a miracle rewrite, the narrative shows how small operational wins create trust and buy time for deeper architectural work. A historical interlude then maps the topic to well known moments in computing history, similar to the way encyclopedia timelines connect people, systems, and consequences. The book uses that arc to explain why certain practices persisted and why others failed when complexity rose. The middle chapters move into implementation details: naming boundaries, selecting abstractions, and planning interfaces that can evolve without surprising users. Tradeoffs are explicit, including when a theoretically elegant design is not worth its operational burden. Several case studies follow incidents from first alert to postmortem. Log fragments, metric shifts, and rollback decisions are analyzed to show how good teams separate symptom from cause under time pressure. Each case ends with a concrete policy change and measurable impact. A dedicated section addresses collaboration mechanics: review quality, branch strategy, release cadence, and communication between product and platform teams. The text argues that technical quality and social clarity are inseparable in long running codebases. Security, performance, and cost appear as recurring constraints rather than separate chapters. This framing helps readers evaluate decisions in context, balancing immediate delivery with maintenance load, compliance obligations, and incident frequency. The later chapters include repeatable playbooks: how to design experiments, define service level objectives, and detect regressions before users do. Emphasis is placed on instrumenting unknowns early so surprises become visible while they are still cheap to fix. Before closing, the book revisits the opening system and documents what changed after six months of disciplined iteration. Some problems remain unsolved, which reinforces the core idea that engineering maturity is a practice, not a finish line. An appendix provides compact reference material for teams: checklist templates, migration sequencing patterns, and review prompts that reduce avoidable defects. The language is intentionally plain so mixed experience teams can apply it quickly. The conclusion returns to the human side of software work: attention management, ownership boundaries, and the craft mindset needed for durable systems. Readers leave with a realistic blueprint for improving reliability without freezing product momentum.",drame,439,true,"1975-04-26 09:00:00"
"Algorithms in Rain","Edsger Dijkstra","Algorithms in Rain explores algorithm design, focusing on choosing data structures that survive real world load. The chapters mix practical engineering scenes with compact technical explanations, showing how architecture choices, debugging habits, and review discipline influence reliability over time. It reads like a field report for developers who want stronger delivery without losing product.","Algorithms in Rain frames algorithm design as a living practice rather than a fixed recipe, with a continuous thread on choosing data structures that survive real world load. The opening section introduces a team that inherits a fragile platform and must keep customer features moving while paying down hidden technical debt. Instead of promising a miracle rewrite, the narrative shows how small operational wins create trust and buy time for deeper architectural work. A historical interlude then maps the topic to well known moments in computing history, similar to the way encyclopedia timelines connect people, systems, and consequences. The book uses that arc to explain why certain practices persisted and why others failed when complexity rose. The middle chapters move into implementation details: naming boundaries, selecting abstractions, and planning interfaces that can evolve without surprising users. Tradeoffs are explicit, including when a theoretically elegant design is not worth its operational burden. Several case studies follow incidents from first alert to postmortem. Log fragments, metric shifts, and rollback decisions are analyzed to show how good teams separate symptom from cause under time pressure. Each case ends with a concrete policy change and measurable impact. A dedicated section addresses collaboration mechanics: review quality, branch strategy, release cadence, and communication between product and platform teams. The text argues that technical quality and social clarity are inseparable in long running codebases. Security, performance, and cost appear as recurring constraints rather than separate chapters. This framing helps readers evaluate decisions in context, balancing immediate delivery with maintenance load, compliance obligations, and incident frequency. The later chapters include repeatable playbooks: how to design experiments, define service level objectives, and detect regressions before users do. Emphasis is placed on instrumenting unknowns early so surprises become visible while they are still cheap to fix. Before closing, the book revisits the opening system and documents what changed after six months of disciplined iteration. Some problems remain unsolved, which reinforces the core idea that engineering maturity is a practice, not a finish line. An appendix provides compact reference material for teams: checklist templates, migration sequencing patterns, and review prompts that reduce avoidable defects. The language is intentionally plain so mixed experience teams can apply it quickly. The conclusion returns to the human side of software work: attention management, ownership boundaries, and the craft mindset needed for durable systems. Readers leave with a realistic blueprint for improving reliability without freezing product momentum.",fiction,476,true,"1975-10-16 09:00:00"
"Threads and Tea","Barbara Liskov","Threads and Tea explores concurrency control, focusing on avoiding race conditions in shared state systems. The chapters mix practical engineering scenes with compact technical explanations, showing how architecture choices, debugging habits, and review discipline influence reliability over time. It reads like a field report for developers who want stronger delivery without losing product.","Threads and Tea frames concurrency control as a living practice rather than a fixed recipe, with a continuous thread on avoiding race conditions in shared state systems. The opening section introduces a team that inherits a fragile platform and must keep customer features moving while paying down hidden technical debt. Instead of promising a miracle rewrite, the narrative shows how small operational wins create trust and buy time for deeper architectural work. A historical interlude then maps the topic to well known moments in computing history, similar to the way encyclopedia timelines connect people, systems, and consequences. The book uses that arc to explain why certain practices persisted and why others failed when complexity rose. The middle chapters move into implementation details: naming boundaries, selecting abstractions, and planning interfaces that can evolve without surprising users. Tradeoffs are explicit, including when a theoretically elegant design is not worth its operational burden. Several case studies follow incidents from first alert to postmortem. Log fragments, metric shifts, and rollback decisions are analyzed to show how good teams separate symptom from cause under time pressure. Each case ends with a concrete policy change and measurable impact. A dedicated section addresses collaboration mechanics: review quality, branch strategy, release cadence, and communication between product and platform teams. The text argues that technical quality and social clarity are inseparable in long running codebases. Security, performance, and cost appear as recurring constraints rather than separate chapters. This framing helps readers evaluate decisions in context, balancing immediate delivery with maintenance load, compliance obligations, and incident frequency. The later chapters include repeatable playbooks: how to design experiments, define service level objectives, and detect regressions before users do. Emphasis is placed on instrumenting unknowns early so surprises become visible while they are still cheap to fix. Before closing, the book revisits the opening system and documents what changed after six months of disciplined iteration. Some problems remain unsolved, which reinforces the core idea that engineering maturity is a practice, not a finish line. An appendix provides compact reference material for teams: checklist templates, migration sequencing patterns, and review prompts that reduce avoidable defects. The language is intentionally plain so mixed experience teams can apply it quickly. The conclusion returns to the human side of software work: attention management, ownership boundaries, and the craft mindset needed for durable systems. Readers leave with a realistic blueprint for improving reliability without freezing product momentum.",non-fiction,513,false,"1976-04-06 09:00:00"
